地域,ホテル名,評価,評価件数,料金,食事,チェックイン,部屋,プラン,詳細
兵庫県 北野・新神戸,六甲布引温泉　料亭旅館　ほてるＩＳＡＧＯ神戸,3.6,32,6930円 / 名,朝のみ,15:00,和室12畳【風呂なし・トイレ付】■WIFI無料■,【1泊朝食付】神戸牛しぐれ煮・食べるトマトジュース・焼き魚「和朝食プラン」新神戸駅徒歩5分で天然温泉,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDA0NDc1NTksMzQ1NTY1LDAwOTQ2NDIsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 北野・新神戸,六甲布引温泉　料亭旅館　ほてるＩＳＡＧＯ神戸,3.6,32,7150円 / 名,食事なし,15:00,特別和室１４畳【沙羅】■WIFI無料■,【素泊まり】新神戸駅から徒歩5分の隠れ家宿　×　天然温泉を堪能　！「シンプルステイプラン」,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDEzNjA3MTgsMzQ1NTY1LDAxMjM1NzksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲アイランド,神戸ベイシェラトン　ホテル＆タワーズ,4.4,366,7200円 / 名,食事なし,15:00,【シェラトンフロア】コネクティングルーム　36平米+36平米/禁煙,【Best　Rate】シェラトン・バリューステイ,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDA1NDEzMDcsMzMzNzU2LDAxMzQ5NzIsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲アイランド,神戸ベイシェラトン　ホテル＆タワーズ,4.4,366,7300円 / 名,朝のみ,15:00,【シェラトンフロア】コネクティングルーム　36平米+36平米/禁煙,【早割30】早期予約30日前までの特別レート（朝食付）,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI2MjQ2MDcsMzMzNzU2LDAxMzQ5NzIsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 有馬,有馬温泉　元湯　古泉閣,4.1,45,7500円 / 名,食事なし,15:00,【古泉閣・宿泊】湯どまり（お部屋は宿任せ43～65平米）,【古泉閣・宿泊】湯どまり（お部屋はお任せ43～65平米)【素泊まり】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDIzNjc2NTgsMzc0NjczLDAzMTQyMjcsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,7700円 / 名,朝のみ,15:00,【全室パノラマビュー】和洋室　ツイン+8畳　43平米,【朝食付】平日のみ！5名様以上限定のグループプラン☆選べる特典付き☆,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MzI3MjEsMzAzMDg2LDAzMzgyNDYsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲アイランド,神戸ベイシェラトン　ホテル＆タワーズ,4.4,366,7700円 / 名,朝のみ,15:00,【シェラトンフロア】コネクティングルーム　36平米+36平米/禁煙,【早割14】早期予約14日前までの特別レート（朝食付）,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI2MjQ2MTMsMzMzNzU2LDAxMzQ5NzIsLCwsMSwxLDYsLCwsLCwwNCwwMg==

兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,3200円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【素泊まり】備品がない分さらにお得☆アメニティ無し特価プラン☆美肌温泉の利用可,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0OTI4MTUsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,淡路島天然温泉東浦サンパーク,3.6,7,3400円 / 名,食事なし,16:00,ひろびろ和室18畳(バスなし)☆大浴場で温泉入浴OK,【じゃらん限定】28日以上前の予約がお得☆和室素泊まりプラン☆美肌温泉の利用可♪【早得28】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI0OTI3ODgsMzc4NDg0LDAzOTg3MjksLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 淡路,栄亭,,1,3000円 / 名,食事なし,18:00,和室６～１０畳,和室で素泊まり,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDAyMjY0NTksMzExNTYzLDAwNzA1NDEsLCwsMSwxLDYsLCwsLCwwNCwwMg==
